Country,Year,Total Energy Consumption (TWh),Per Capita Energy Use (kWh),Renewable Energy Share (%),Fossil Fuel Dependency (%),Industrial Energy Use (%),Household Energy Use (%),Carbon Emissions (Million Tons),Energy Price Index (USD/kWh),Cluster,PC1,PC2
Japan,2013,438.53,800.5,23.7,12.86,29.16,33.16,1590.58,0.28,1,0.353299923987483,-0.33485597456561983
Germany,2004,8206.45,35777.8,79.29,64.45,49.54,24.02,4160.48,0.11,0,-0.3650062389515982,-1.2270590801037518
Brazil,2020,2082.63,10261.04,88.84,33.13,53.08,21.07,4132.34,0.12,2,-0.8619456613025813,-2.159921350975881
Germany,2018,5834.29,6914.43,74.42,75.19,53.45,34.94,965.77,0.21,0,-0.5061370546908609,-1.3498701994264506
Brazil,2020,4719.68,17182.38,67.04,53.2,36.46,15.2,2688.75,0.27,0,-0.34913803349338796,-0.6392460991770671
Canada,2015,4256.4,38666.69,55.03,40.54,45.04,31.75,2533.88,0.37,1,-0.6606338604109429,0.9804607551469615
Japan,2023,8908.17,5777.35,70.44,49.51,42.06,36.64,2100.69,0.26,2,0.827436565706017,-1.072511250303702
Canada,2011,4429.88,11877.03,85.5,42.0,43.9,18.58,2702.81,0.06,2,-0.6711422508702564,-2.251270870672441
Brazil,2020,845.91,918.99,56.11,73.41,31.28,15.93,1499.3,0.17,2,-1.0110479122751028,-1.635336807270044
UK,2003,9471.72,48436.54,18.14,42.06,47.33,25.38,2681.17,0.06,0,0.8170034373785348,0.07127218701457813
UK,2007,9213.3,29811.21,18.93,17.28,48.4,16.49,3443.76,0.46,2,1.9864487825700923,1.654456836385375
Canada,2006,6875.88,36135.03,54.63,51.8,27.84,36.12,359.39,0.06,0,-0.6705332661452589,-0.6594069490331437
UK,2014,4732.14,32743.47,33.34,53.61,37.75,17.33,4838.16,0.07,0,0.10095101939360689,-0.9998265153405558
Brazil,2005,1019.31,7646.05,82.37,63.57,36.88,19.42,868.25,0.18,2,-1.71611908135664,-1.5615211294083653
India,2004,7928.41,29949.53,56.99,75.33,49.96,36.65,1833.48,0.33,0,-0.12152406820754379,0.35079825814225596
Canada,2013,847.23,7005.07,62.5,41.02,46.66,16.17,2379.61,0.21,1,-0.7977815234646376,-1.2357380726471296
China,2020,779.15,20361.2,5.49,34.65,39.05,36.54,252.87,0.08,1,-0.3727167208949512,-0.41808027972401024
Japan,2012,5420.1,28663.68,47.4,44.35,46.1,16.29,2764.39,0.43,0,0.10872644699245236,1.0093836046578049
UK,2009,1685.27,28164.62,41.65,73.01,30.51,37.35,4356.37,0.37,2,-0.7202962273395522,0.3998689487737786
UK,2017,176.53,6394.13,65.0,78.6,29.29,19.53,4510.04,0.23,2,-1.04603049005985,-1.5923897652784333
USA,2003,4288.82,2204.58,37.52,77.99,29.6,17.39,1664.65,0.35,2,0.24379570182499197,-0.3280995416901972
Australia,2007,1458.45,40012.6,88.01,26.08,21.18,24.32,2816.04,0.17,2,-1.9829045112765713,-0.5477844643270292
Canada,2023,1689.1,36433.16,61.97,44.78,47.64,21.08,3895.15,0.29,2,-1.2170549396257084,0.15097723146323822
Russia,2010,861.42,4550.04,61.09,28.16,59.43,16.05,1301.59,0.45,1,-0.5506619615613813,0.2487496626944114
UK,2016,2130.43,6807.07,83.14,35.76,32.36,20.15,2665.94,0.1,2,-0.9071784104445768,-2.161488740678637
Japan,2017,7183.29,44682.9,89.59,12.22,57.19,31.4,1865.27,0.43,2,-0.6494896405758799,1.2924181213711285
China,2020,8108.38,38571.88,21.81,21.24,44.26,34.96,1921.97,0.4,1,1.0731373355173879,1.7674299308381216
UK,2024,4580.08,49809.93,73.9,37.8,29.0,34.62,515.98,0.48,1,-1.5393800113342686,2.0343903179998035
China,2010,5114.88,13072.38,18.8,35.53,20.47,32.7,2064.1,0.28,1,0.9917021769476393,0.06558587089835045
Brazil,2015,423.28,24646.25,43.85,29.52,48.95,10.16,846.35,0.17,1,-1.1799786262675924,-0.31198619384814885
Brazil,2011,786.23,12204.75,13.52,26.12,47.86,22.8,1541.29,0.21,0,0.10066551081422333,-0.21228663975897993
Australia,2012,2649.92,31328.61,57.99,62.43,29.17,15.07,1684.89,0.34,1,-1.275983556265414,0.49674936609898324
India,2015,5484.59,6213.0,44.82,30.62,33.31,12.2,2181.47,0.11,1,0.683657323738265,-1.51428585499894
Russia,2022,7421.56,6798.54,58.44,59.46,55.92,32.08,4588.72,0.21,2,0.9647184925392306,-1.5052164054779016
USA,2020,6089.53,4058.45,62.63,35.8,26.29,33.8,3173.44,0.38,2,0.8064057871239498,-0.4289479677516195
Australia,2000,3982.07,34832.51,57.65,66.14,53.42,34.44,4873.59,0.31,0,-0.6128833059616486,0.0667195399520431
Germany,2015,1271.41,24956.59,29.99,21.71,26.77,36.71,2973.73,0.08,0,-0.3323079499624973,-0.8501095377077739
USA,2014,7829.66,31077.7,76.14,21.03,39.27,27.7,4037.18,0.27,2,0.3339407170754604,-0.25457292158056877
Canada,2005,3701.48,44025.4,51.89,57.58,39.96,39.94,4179.05,0.29,0,-0.8636969103622372,0.49689892962906546
Japan,2011,7386.93,37146.26,46.64,74.04,38.88,24.51,3708.07,0.37,0,0.1030927575475981,0.7697498063226229
Germany,2007,5178.49,23355.28,88.9,20.01,31.52,36.5,3366.08,0.05,2,-0.5708997493505774,-1.9064671358292227
Germany,2006,7412.75,49225.62,29.1,15.16,30.13,13.39,2118.68,0.24,0,0.4224333458727544,1.1541818982734822
Australia,2001,9082.17,23084.68,49.88,75.42,49.33,14.47,2858.02,0.45,0,0.752992806559657,0.7547149914273249
India,2011,9218.19,6066.31,63.0,18.21,31.03,27.71,1008.9,0.06,2,1.0766154208136758,-1.845436775217111
Australia,2020,5397.56,49636.41,15.64,27.53,44.4,13.72,3110.32,0.35,1,0.3320705739800584,1.8040695047446331
Canada,2013,5163.93,1629.63,35.11,75.06,53.87,12.26,2595.77,0.15,0,0.554699702805295,-1.5605917553786322
UK,2015,2730.22,27719.24,73.14,66.2,53.48,15.88,4031.41,0.22,2,-1.2177800422953144,-0.8322474065316555
UK,2010,9364.42,15800.23,25.12,33.99,26.69,33.63,4517.59,0.45,2,2.2925671595923554,0.7839762436771328
India,2019,4633.4,25425.83,46.93,76.82,46.19,37.82,707.33,0.21,0,-0.8173372950403992,-0.2550594856118263
Canada,2008,1363.15,28156.29,58.6,49.76,44.09,20.0,3469.99,0.3,2,-1.0888445421906368,-0.030281249654346795
India,2009,4383.78,12384.75,62.05,15.06,31.28,39.24,4752.73,0.09,0,0.453752025876929,-1.880054277951048
China,2016,1357.83,28064.51,66.91,59.21,35.66,34.29,4593.51,0.2,2,-1.2582297152925348,-0.894123264882624
UK,2011,5075.06,37925.03,78.61,47.61,31.4,16.78,4180.41,0.11,2,-0.9473508013884648,-1.0822554266199889
Germany,2005,5656.63,13692.24,38.39,50.08,41.48,27.58,289.29,0.3,0,0.24736387208151575,0.09542052407505297
Russia,2018,3443.78,19479.59,65.06,79.59,52.15,39.45,1299.8,0.26,0,-1.1966504545885472,-0.5276146421235441
Japan,2010,809.34,13778.01,67.23,20.68,55.1,35.46,784.03,0.17,2,-1.1714357009832614,-0.9960203095961075
Canada,2008,9440.69,41117.71,30.52,55.98,48.91,20.9,4638.33,0.5,0,1.2442025283130125,1.8534972385863215
USA,2020,7756.2,36386.62,87.29,42.11,39.34,19.19,3757.0,0.12,2,-0.4665519957956601,-1.1166384769946536
India,2005,8404.92,43624.22,78.54,29.03,58.32,34.58,2682.33,0.42,2,-0.16310644110892322,1.1819396026792033
Japan,2024,3732.0,8917.47,29.64,58.55,42.56,26.47,4898.03,0.07,0,0.6204091841120034,-1.885006274812382
USA,2024,7632.23,4142.19,62.38,56.77,39.14,14.9,1013.86,0.43,0,0.6177696051671442,0.04567444152213754
Japan,2023,4905.19,6409.48,66.01,69.95,54.27,19.83,3225.78,0.26,2,-0.06679281304010697,-1.224089031509
Russia,2024,2090.73,8470.41,41.68,71.52,27.38,29.85,3066.44,0.42,1,-0.19125141934162432,0.1025868683828989
USA,2015,1331.79,26887.59,78.42,49.33,26.32,14.59,1735.25,0.39,2,-1.69025764884005,0.38014916899928247
Australia,2019,3516.0,48560.15,63.67,32.79,51.3,30.96,2452.63,0.31,1,-1.282385355378662,0.933437026192373
Brazil,2015,1461.77,18183.15,60.94,47.07,54.82,31.3,1215.16,0.22,2,-1.2081058665668403,-0.6146725479035791
Australia,2005,9982.86,47946.16,23.77,35.15,22.91,18.12,3401.72,0.35,1,1.2312658826708156,1.581438547952394
UK,2004,586.97,2390.94,39.67,29.41,50.56,21.94,2120.29,0.42,1,0.0026334673765773635,0.1800628049643842
Brazil,2020,4467.32,46380.17,41.88,48.61,36.98,38.06,166.57,0.28,1,-1.1028287630512559,1.1897666242884841
Australia,2003,4575.73,9467.05,67.36,56.06,48.15,32.48,4756.39,0.24,2,0.12475716345118647,-1.3706136406359648
Brazil,2001,3076.26,45667.51,57.56,51.34,25.4,33.63,2532.02,0.11,2,-1.5037739577261346,-0.3269211070242968
Brazil,2005,5756.38,3283.26,12.3,76.81,58.92,25.49,3542.89,0.45,0,1.4739743634335423,0.41125195795469804
Germany,2008,1584.77,47436.86,31.15,30.9,55.25,16.39,1024.8,0.17,1,-1.3148651631623205,0.7021881419753533
India,2016,7860.73,10439.51,45.21,36.06,36.24,27.74,679.79,0.11,1,0.7928114403150589,-1.1904299771520703
India,2013,3391.23,15484.35,67.62,56.73,55.73,33.16,4516.99,0.08,2,-0.49589120767867706,-2.041263975357178
Germany,2006,5954.29,24801.65,68.2,52.03,55.8,10.12,2975.12,0.39,2,-0.172892432460604,0.29682965947134543
Japan,2021,7184.83,19345.68,46.7,10.13,38.45,13.41,2492.09,0.35,2,1.090897269092409,0.3868957049794832
China,2018,8901.52,33542.63,14.94,31.86,57.88,24.23,2629.69,0.1,0,1.3353129649457,-0.17543798936704447
Japan,2000,8374.3,48752.98,29.9,27.76,59.07,23.12,1219.2,0.29,0,0.39142580955457684,1.4729887179441428
USA,2019,6122.26,30518.11,26.65,68.79,28.69,39.47,4567.8,0.12,0,0.45371292230193766,-0.7309403479887799
USA,2024,3945.09,36213.53,71.39,70.64,22.67,12.76,1110.49,0.22,0,-1.6785229856196269,-0.14628789421105576
Brazil,2014,5081.73,4856.26,20.3,29.87,33.25,19.71,832.13,0.4,1,1.1487025681912357,0.5933160719423973
Australia,2017,7710.47,31576.72,44.52,17.14,39.55,34.45,4653.73,0.15,0,1.0195591900280738,-0.5538032327728515
Australia,2002,8787.7,22965.56,62.01,24.36,23.71,28.37,1324.99,0.06,2,0.4723904053639884,-1.25600218011482
India,2017,1127.44,44346.23,87.01,22.36,25.63,26.85,4319.3,0.14,0,-1.9050319387130823,-0.709673954854416
Canada,2001,3910.08,19716.45,89.94,26.62,58.87,32.24,3873.94,0.23,2,-0.6388264886201939,-1.120575068868818
Japan,2009,7783.55,34132.98,86.0,26.43,49.49,11.2,1940.62,0.16,2,-0.4562119627556062,-0.6713973002060746
UK,2010,4373.35,11793.61,66.05,43.59,55.0,38.42,1307.31,0.38,1,-0.28410513556847006,0.0052071798136469625
Russia,2023,3389.05,13338.94,68.45,32.37,58.85,15.74,3806.99,0.41,1,-0.057439085969003496,-0.05712979809735393
Australia,2002,4172.09,19118.06,69.53,49.19,35.13,12.46,3008.11,0.16,0,-0.5688812430352842,-1.254348882379662
Russia,2006,6068.16,15551.15,78.32,34.09,47.51,20.17,1307.5,0.17,2,-0.31064909787866096,-1.1764920277920015
Brazil,2007,9998.07,13067.0,85.9,67.03,27.36,31.07,4459.85,0.3,2,0.7474679278915619,-1.1290964632855096
Russia,2018,4980.63,2958.6,42.89,76.56,42.07,16.94,3618.86,0.39,0,0.6279788219114565,-0.37086584641433173
UK,2017,2164.1,41918.94,40.4,38.27,28.4,11.5,4550.93,0.48,1,-0.50044002110467,1.6895886644754534
Germany,2012,1712.18,3682.93,44.14,13.46,26.42,11.72,2215.48,0.19,1,0.1571593351202114,-1.0913927410613908
UK,2012,519.26,44424.59,61.08,26.77,23.94,17.7,684.59,0.46,1,-1.9068899633106469,1.897938721378987
Russia,2023,5632.29,6710.54,70.91,17.13,43.19,14.06,4624.17,0.13,2,0.7094951991257322,-1.9741830510489515
UK,2018,5491.26,3730.46,79.0,34.13,57.99,21.17,3027.06,0.07,2,0.10418826217988854,-2.417715470991141
China,2022,2131.82,28368.74,43.78,55.16,24.89,15.19,3049.99,0.41,2,-0.652942586498916,0.8408363535110561
Brazil,2011,6983.76,25370.87,35.89,46.32,40.09,20.33,2942.11,0.27,0,0.7054056391394311,0.10019124437022481
Japan,2016,7436.96,24816.11,88.58,27.0,47.48,23.33,2388.35,0.08,2,-0.3015252258120959,-1.5761769702577846
Germany,2021,2665.07,28937.96,24.71,63.71,39.83,32.28,1312.46,0.08,0,-0.7550143515425051,-0.5929219870762084
Australia,2011,3506.59,14709.3,23.87,19.2,56.47,16.82,3084.46,0.06,0,0.653434002973133,-1.2647931759928432
USA,2012,9905.67,33315.99,65.81,25.97,26.65,24.25,3607.08,0.19,2,0.7830417041100157,-0.44805397599638136
Japan,2024,3805.22,25368.91,20.27,57.32,20.97,34.46,4586.89,0.38,1,0.5258217313088277,0.6856953097059785
USA,2011,7631.94,17069.8,38.95,23.81,35.32,39.59,407.13,0.35,1,0.9369702593942479,0.6036085563952492
Brazil,2018,4581.98,41411.78,29.85,57.51,42.22,26.72,1310.81,0.5,0,-0.42803694857578717,2.2507631779368236
Germany,2013,7954.11,36522.19,19.34,78.39,30.18,22.97,3894.59,0.32,0,0.7779692277998705,0.7915144867896166
India,2006,7713.33,19983.71,54.28,68.19,26.74,28.95,3887.0,0.1,0,0.4339926124203907,-1.528685292002047
Australia,2012,6710.78,42457.08,36.75,21.2,52.19,24.59,1099.57,0.49,1,0.24823435390426368,2.3221784860334
China,2005,8562.31,46052.78,44.29,46.43,27.54,14.94,964.35,0.36,1,0.011806757725262289,1.5317733549093098
India,2023,9398.26,27074.88,21.65,39.56,37.71,23.78,1867.34,0.22,0,1.3788769987750653,0.23859182467511042
Brazil,2018,5841.83,11140.15,70.27,79.42,58.18,39.37,361.43,0.16,2,-0.7242742787806778,-1.3640139552026547
Japan,2018,2450.94,45831.71,31.75,77.51,44.51,29.21,3665.29,0.15,0,-1.1846035893758546,0.01176228116088584
China,2003,4046.43,9879.24,34.13,18.9,39.91,18.5,3365.55,0.48,1,1.054891236017937,0.7891947038182052
UK,2018,7607.23,2896.95,26.43,73.61,34.41,38.41,4300.69,0.24,0,1.6213353068750949,-1.0696912879443725
Russia,2008,6543.75,16710.61,41.92,23.54,40.82,21.66,2178.74,0.27,1,0.866431853010406,-0.12626536255880455
China,2015,1860.2,36484.83,44.4,32.36,49.37,21.7,3201.84,0.43,1,-0.6804185644529612,1.3288422816246748
Brazil,2003,607.27,46202.07,50.02,34.74,52.9,28.5,4772.05,0.48,1,-1.117659019800911,1.7032012095025464
Canada,2005,6861.32,32045.64,87.24,30.08,45.99,27.07,4796.07,0.05,2,-0.2892141879835864,-1.7618062367555214
Russia,2007,2585.68,47616.01,81.9,69.73,51.61,18.71,401.83,0.5,1,-2.4629532262856664,1.8325297869612627
USA,2023,5046.74,5072.36,56.8,33.1,23.54,24.01,59.33,0.08,2,-0.030058964478076742,-1.6470717532874946
Australia,2015,7492.79,3507.31,8.31,67.17,20.57,19.98,4801.92,0.43,0,2.2496309400661865,0.2532586359355542
USA,2004,5670.4,30407.5,57.04,79.61,49.38,32.13,2699.82,0.48,1,-0.45761142096359664,1.0958657206075757
China,2020,924.7,48322.76,12.62,68.85,30.47,13.68,3516.98,0.3,0,-1.0264775642736519,1.2725917233282644
USA,2021,1937.24,25384.7,65.38,34.23,55.11,32.51,4567.36,0.3,1,-0.6661195112304527,-0.2942526170490877
Brazil,2009,2271.35,3050.0,38.16,59.79,41.43,14.84,2194.12,0.35,2,0.027431814216234106,-0.30224081088126065
UK,2022,2652.86,11450.32,76.2,47.37,39.14,19.18,2231.23,0.21,2,-0.9001236265060473,-1.2537188906646306
Japan,2012,5697.49,12617.25,85.11,65.06,50.91,20.0,876.56,0.12,2,-0.902172647987029,-1.7425028091860337
Australia,2013,5089.26,17223.93,40.45,20.72,49.64,39.71,4533.85,0.08,0,0.8235445498079285,-1.4548376601838982
USA,2006,2111.28,2658.37,44.15,54.67,48.17,27.69,3255.98,0.45,1,0.17570428566628998,0.06665373453535255
USA,2019,768.79,45292.19,55.16,64.16,47.6,33.33,942.33,0.3,1,-2.238571032647985,0.9109324977059484
China,2005,1797.18,26020.42,21.76,63.29,40.62,26.66,2820.97,0.36,0,-0.35572296428680045,0.7568286745585959
Japan,2006,9845.37,33711.07,83.82,77.45,57.06,39.49,1674.41,0.2,0,-0.5037063759037272,-0.5970898690478743
India,2004,4738.61,3825.06,41.8,14.09,55.63,15.32,778.55,0.41,1,0.8185481946587198,0.3897417433789953
USA,2020,8686.72,3178.72,19.18,34.2,33.18,28.15,950.25,0.21,1,1.8901767865219712,-0.5617479268130645
Brazil,2017,8502.65,29530.15,69.83,43.36,52.19,33.92,2818.32,0.06,2,0.07360763565013574,-1.3725173254231966
Canada,2022,5164.04,44421.15,23.63,31.68,55.64,28.86,2843.71,0.2,1,0.06903332108838453,0.652599725826401
Australia,2011,7096.21,26659.86,17.2,31.69,44.73,36.91,3960.21,0.43,2,1.5311778278684995,1.256586214463209
USA,2005,2008.24,43952.05,52.84,22.33,42.22,28.02,1277.52,0.44,1,-1.243009950375414,1.829447831813439
Brazil,2000,6915.13,40644.07,62.08,66.91,46.88,34.79,4583.38,0.47,0,-0.14596629220189597,1.1876488998949462
Brazil,2003,2796.61,4254.76,53.41,73.56,26.52,15.27,2617.13,0.27,2,-0.35299452113394364,-1.027205527527506
Australia,2018,8337.41,10496.89,60.8,15.76,23.49,17.86,1060.65,0.48,1,1.1225300363525772,0.7597238483310409
India,2011,928.87,33056.68,14.82,20.84,52.81,23.32,2095.74,0.27,1,-0.3300969771378936,0.8601341970186746
Brazil,2014,7754.07,22453.32,45.46,25.99,42.93,35.55,4620.63,0.12,2,1.1589713348114223,-1.116648380394908
Canada,2002,1089.38,14889.64,35.35,45.63,24.9,22.8,2416.87,0.28,0,-0.3984890556329323,-0.18979474603560695
Brazil,2022,8823.77,21222.38,87.74,65.38,36.65,28.82,4379.84,0.44,2,0.29741073170749294,-0.030535286672053567
Brazil,2019,3111.62,22537.38,9.22,15.0,31.93,21.87,841.17,0.4,1,0.5638009998223159,1.4662936508743678
Brazil,2007,6578.49,45572.34,30.36,54.58,55.02,34.17,4574.09,0.25,0,0.2793249889537671,0.5941193497107871
UK,2010,4926.27,5621.19,85.06,20.45,40.29,16.01,2181.56,0.15,2,-0.13921969998961858,-1.8136317263929658
UK,2015,3726.4,14346.67,88.6,78.0,43.1,27.81,4683.83,0.31,2,-0.8746035734897867,-1.1566732409128235
India,2008,6489.87,27109.46,75.12,72.91,29.41,27.34,4337.09,0.47,2,-0.22006170497835445,0.5009346364945398
USA,2002,9480.48,35065.2,11.46,76.47,51.96,22.1,3316.83,0.13,0,1.1332372700424016,-0.1620033061841307
Brazil,2004,508.57,31716.55,52.72,17.43,57.2,31.15,3380.59,0.42,2,-0.8374116282364786,1.0119771993127862
Japan,2019,9196.64,47111.32,39.01,44.16,51.7,10.85,1096.96,0.12,0,0.1135461334623565,0.2638668100105281
USA,2013,6129.91,39882.64,73.55,21.57,39.71,35.24,3034.01,0.46,2,-0.30116614881880427,1.3158614588245217
India,2014,8092.41,28075.3,9.68,52.02,53.4,20.44,2770.0,0.36,0,1.408919686507296,1.0757789505808877
Germany,2005,3900.36,11126.79,21.76,26.29,27.52,33.79,1704.03,0.1,1,0.6229559729758071,-1.0033409605060146
USA,2003,4771.25,22818.27,46.58,63.94,24.54,19.15,2552.83,0.14,0,-0.307324109247774,-0.9203817935983605
USA,2007,8701.62,34822.42,18.4,55.08,37.53,15.64,4649.26,0.47,0,1.5105247745163406,1.606485822200672
Russia,2018,4206.99,41979.13,63.88,50.01,27.26,21.68,76.26,0.28,1,-1.5273561123083756,0.7287066882195982
China,2004,5393.13,48006.94,74.77,67.77,30.37,33.92,2114.76,0.25,0,-1.5548505761987148,0.3232328252343657
Russia,2012,299.93,30469.91,64.88,45.02,43.4,31.11,1701.51,0.08,0,-1.9281362046002524,-1.0593124509275296
Canada,2015,1670.12,26582.51,42.42,28.89,36.16,22.03,4808.09,0.09,0,-0.3284696538062033,-1.1493423203743998
UK,2000,6452.7,1375.75,79.66,53.45,54.64,38.14,4870.78,0.36,2,0.6739716935345909,-1.1523537014074132
UK,2012,7198.07,4068.9,16.7,76.99,29.02,22.26,2949.02,0.4,0,1.555804241711333,0.1716742843925637
China,2021,5867.75,8227.2,27.13,52.08,59.87,20.52,2772.53,0.44,0,1.1795650481806066,0.5353151818669329
Australia,2010,1518.77,3210.62,46.61,54.07,34.38,14.34,4520.9,0.28,2,0.060211842725298344,-1.0728988465943299
Australia,2020,4509.51,20342.73,10.21,75.43,40.62,12.11,82.39,0.2,0,-0.006928106319705892,0.0734004429176805
India,2007,3615.44,17175.49,13.13,46.07,25.29,20.5,2833.29,0.33,1,0.6854417895700652,0.44253440288288737
China,2024,5007.05,32049.03,38.78,79.75,43.17,12.76,171.93,0.33,0,-0.7911096885957075,0.8486603971256244
USA,2007,8716.26,27015.42,85.23,21.18,58.45,23.88,4842.4,0.07,2,0.4538321667662215,-1.7726066407060208
Australia,2023,7781.03,30000.55,82.22,47.59,49.98,35.8,1634.79,0.47,1,-0.31566399758720176,0.9500117189069776
Brazil,2013,931.5,23862.87,44.61,24.9,29.76,24.28,2627.97,0.34,1,-0.5936332588681998,0.42764112214943445
Japan,2012,8914.06,14247.99,17.08,41.73,37.7,24.42,2116.96,0.05,0,1.6448754421625311,-1.2013263043024125
USA,2002,4770.49,47664.85,20.14,21.94,37.02,17.6,4473.44,0.48,1,0.5271926050151976,2.268782130816225
Canada,2003,7464.24,4777.25,37.09,25.58,23.92,14.99,4999.1,0.48,2,2.1248623890740723,0.3440851815802428
Brazil,2019,1486.39,46975.1,22.86,24.76,55.43,16.67,388.52,0.48,1,-0.9609579679475082,2.675340935773369
Brazil,2014,6740.12,15906.28,12.05,32.4,35.26,27.04,3673.55,0.45,2,1.8418417827516544,1.0634108738976074
China,2014,2439.63,25876.74,62.27,19.42,39.77,27.75,1871.59,0.13,2,-0.8924347182320831,-0.8189554307679288
India,2020,4439.97,5887.69,54.42,66.65,31.65,16.61,738.41,0.49,0,-0.11443817953811032,0.5439017147438169
Canada,2012,266.94,4011.09,29.76,25.45,26.1,21.97,2056.92,0.39,1,0.10258169784686613,0.22656118044713153
Australia,2008,1600.95,21762.5,71.21,39.16,56.08,27.06,4990.83,0.34,1,-0.7160616959091833,-0.35421380196298896
China,2024,1011.6,37214.02,70.96,11.12,21.5,32.81,1819.96,0.47,1,-1.4205523069782782,1.4764125873717193
Australia,2009,2473.47,13833.56,46.74,17.34,36.0,19.59,1423.13,0.22,1,-0.17788354129002157,-0.486635824738997
China,2011,1090.18,28336.22,13.21,72.74,49.23,18.14,4238.55,0.47,1,-0.20411761099946607,1.378030522366848
China,2013,6949.91,14293.19,83.07,68.6,32.35,31.91,4346.29,0.32,2,0.045445111088263955,-0.9343509587204034
China,2000,387.5,19736.35,61.84,68.86,37.84,25.41,1727.4,0.31,2,-1.6170890252090429,-0.2075819776199919
India,2013,6215.63,45369.09,26.0,38.79,42.58,35.7,1528.43,0.34,1,0.040823802956243535,1.592922301597015
China,2013,1493.01,42864.06,56.89,19.91,59.8,16.33,3254.04,0.39,2,-1.1037014602438122,1.2154904206417005
Germany,2007,9457.1,26042.87,39.43,17.55,50.33,33.13,1065.63,0.25,0,1.1828695860779403,0.3176297452942032
Japan,2015,9337.63,12286.23,59.0,52.39,58.68,14.86,2444.24,0.49,2,1.1613670907729177,0.5959700190351312
Australia,2013,2332.48,10062.6,45.28,67.97,47.73,27.54,749.65,0.09,1,-0.8314757556495919,-1.4812527642797548
USA,2000,6182.77,47727.32,46.27,73.01,30.76,18.51,1558.54,0.46,1,-0.757905143514574,1.9514460177820696
Russia,2015,377.25,10534.47,67.55,30.21,31.5,13.03,1522.53,0.35,1,-1.0380785083502677,-0.22191205472088132
Canada,2017,9324.71,40504.33,57.17,32.47,52.9,28.5,3489.75,0.46,2,0.7175411563686593,1.4744135407835643
UK,2006,5277.57,18764.03,11.8,17.06,37.11,25.2,1447.25,0.22,1,1.0691714069073692,0.18343210568290566
India,2014,527.91,49290.16,10.56,64.21,34.81,24.58,4497.55,0.42,1,-0.807197744269967,1.9237287741946505
USA,2023,3490.75,18723.71,30.93,29.3,57.8,27.78,4916.08,0.33,1,0.7565377208491871,0.07615437235910477
Brazil,2016,860.81,17900.07,41.57,43.67,20.53,21.17,451.26,0.42,1,-0.8703476682755046,0.8873080771233314
Germany,2018,3990.15,32054.45,28.39,75.02,41.0,30.11,2018.36,0.2,0,-0.5467467953478765,0.036685628278882255
UK,2022,6732.27,48095.08,60.37,62.66,51.0,13.93,1544.11,0.46,1,-0.8283914606018539,1.8205308312708253
Russia,2012,4751.91,48822.38,21.58,13.69,49.45,31.45,1792.35,0.47,1,0.10782828386138232,2.5938906336513687
USA,2008,3898.85,35506.7,64.85,10.57,34.7,27.39,1363.51,0.26,1,-0.7910695289988576,0.35988986919236055
UK,2023,1279.65,37853.02,70.72,65.12,41.43,24.59,1944.19,0.23,1,-2.1252443853240828,-0.10650633966957974
USA,2023,2524.9,28388.41,15.57,48.68,20.22,13.83,750.0,0.31,1,-0.3363712561587438,0.95724846215421
Germany,2014,1091.42,37910.9,60.32,60.42,41.39,18.35,1435.1,0.14,0,-2.0443262120234467,-0.399017908732706
Russia,2024,8094.24,43059.09,86.72,20.98,43.62,18.86,3751.7,0.27,2,-0.23572521384313652,0.09233315653602872
Brazil,2002,1438.87,24561.72,21.39,71.04,54.99,17.01,1753.03,0.45,1,-0.5816040591516886,1.3183279378555153
China,2023,5994.2,31183.18,82.29,64.13,28.43,38.63,1078.78,0.21,0,-1.2252023772279867,-0.5036148446549686
Australia,2000,3493.13,27097.18,56.51,72.36,53.01,37.47,586.8,0.38,1,-1.182420782854943,0.6810418036122
Brazil,2015,2337.19,28342.3,55.23,33.88,48.72,26.38,1772.62,0.33,1,-0.8749356985975243,0.46857645856746605
China,2007,6430.74,44557.37,9.41,29.3,46.64,16.17,3234.87,0.17,1,0.727374923863558,0.6460622137817664
India,2022,4624.32,18103.03,68.61,20.62,35.78,37.33,1303.86,0.29,1,-0.27963763746362225,-0.21047379244833073
Japan,2012,4061.44,10805.11,45.65,75.11,34.7,32.48,2141.11,0.43,2,-0.07357161496688792,0.2996922061321025
Canada,2007,5969.23,23085.87,66.3,22.38,48.13,11.16,4764.37,0.3,2,0.4780174821802072,-0.35330099481555893
Canada,2016,4963.55,10800.22,73.78,18.35,59.61,24.72,2784.2,0.36,1,0.223919513202029,-0.32489899358074
Australia,2021,3104.49,25170.82,49.52,23.49,36.21,28.15,2683.1,0.4,1,-0.16806866027330583,0.7622556330976484
Russia,2022,5634.71,45223.65,27.41,64.0,56.74,11.99,2079.22,0.07,0,-0.5031488288027475,-0.15116699246773346
Germany,2013,6728.04,31062.96,17.03,72.27,43.46,11.49,2806.36,0.07,0,0.4213691629860735,-0.6651612569255834
Russia,2020,364.26,42843.93,18.64,66.76,54.73,23.91,4923.61,0.1,0,-1.0104712529506923,-0.3268753646706713
Germany,2020,4712.13,8726.45,78.69,49.43,28.69,10.06,1306.34,0.12,2,-0.6327453341025056,-1.794989329332589
Russia,2006,671.06,45093.24,15.5,79.57,50.49,11.41,4712.54,0.42,1,-0.888746563859527,1.609219093954889
